Scenario_ID,N_Plus,N_Minus,N_Neutral,Pct_Plus,Pct_Minus,Seed,DI_Scenario,Is_Binding
0,0,0,150,0.0,0.0,1,HD,True
1,0,30,120,0.0,20.0,1,HD,False
0,0,0,150,0.0,0.0,1,MD,False
1,0,30,120,0.0,20.0,1,MD,True
0,0,0,150,0.0,0.0,1,LD,False
1,0,30,120,0.0,20.0,1,LD,True
0,0,0,150,0.0,0.0,1,Mixed,False
1,0,30,120,0.0,20.0,1,Mixed,True
2,30,0,120,20.0,0.0,1,Mixed,False
0,0,0,150,0.0,0.0,2,HD,False
1,0,30,120,0.0,20.0,2,HD,True
0,0,0,150,0.0,0.0,2,MD,False
1,0,30,120,0.0,20.0,2,MD,True
0,0,0,150,0.0,0.0,2,LD,False
1,0,30,120,0.0,20.0,2,LD,True
0,0,0,150,0.0,0.0,2,Mixed,False
1,0,30,120,0.0,20.0,2,Mixed,True
0,0,0,150,0.0,0.0,3,HD,True
1,0,30,120,0.0,20.0,3,HD,False
0,0,0,150,0.0,0.0,3,MD,True
1,0,30,120,0.0,20.0,3,MD,False
2,30,0,120,20.0,0.0,3,MD,False
0,0,0,150,0.0,0.0,3,LD,False
1,0,30,120,0.0,20.0,3,LD,True
0,0,0,150,0.0,0.0,3,Mixed,True
1,0,30,120,0.0,20.0,3,Mixed,False
2,30,0,120,20.0,0.0,3,Mixed,False
3,0,30,120,0.0,20.0,3,Mixed,False
0,0,0,150,0.0,0.0,4,HD,True
1,0,30,120,0.0,20.0,4,HD,False
0,0,0,150,0.0,0.0,4,MD,False
1,0,30,120,0.0,20.0,4,MD,True
2,30,0,120,20.0,0.0,4,MD,False
0,0,0,150,0.0,0.0,4,LD,True
1,0,30,120,0.0,20.0,4,LD,False
0,0,0,150,0.0,0.0,4,Mixed,True
1,0,30,120,0.0,20.0,4,Mixed,False
2,30,0,120,20.0,0.0,4,Mixed,False
0,0,0,150,0.0,0.0,5,HD,True
1,0,30,120,0.0,20.0,5,HD,False
0,0,0,150,0.0,0.0,5,MD,False
1,0,30,120,0.0,20.0,5,MD,True
0,0,0,150,0.0,0.0,5,LD,False
1,0,30,120,0.0,20.0,5,LD,True
2,0,30,120,0.0,20.0,5,LD,False
0,0,0,150,0.0,0.0,5,Mixed,False
1,0,30,120,0.0,20.0,5,Mixed,True
0,0,0,150,0.0,0.0,6,HD,False
1,0,30,120,0.0,20.0,6,HD,True
0,0,0,150,0.0,0.0,6,MD,True
1,0,30,120,0.0,20.0,6,MD,False
0,0,0,150,0.0,0.0,6,LD,False
1,0,30,120,0.0,20.0,6,LD,True
2,30,0,120,20.0,0.0,6,LD,False
0,0,0,150,0.0,0.0,6,Mixed,True
1,0,30,120,0.0,20.0,6,Mixed,False
0,0,0,150,0.0,0.0,7,HD,True
1,0,30,120,0.0,20.0,7,HD,False
2,3,27,120,2.0,18.0,7,HD,False
0,0,0,150,0.0,0.0,7,MD,True
1,0,30,120,0.0,20.0,7,MD,False
0,0,0,150,0.0,0.0,7,LD,False
1,0,30,120,0.0,20.0,7,LD,False
2,22,8,120,14.666666666666666,5.333333333333334,7,LD,True
0,0,0,150,0.0,0.0,7,Mixed,True
1,0,30,120,0.0,20.0,7,Mixed,False
0,0,0,150,0.0,0.0,8,HD,True
1,0,30,120,0.0,20.0,8,HD,False
0,0,0,150,0.0,0.0,8,MD,False
1,0,30,120,0.0,20.0,8,MD,True
0,0,0,150,0.0,0.0,8,LD,True
1,0,30,120,0.0,20.0,8,LD,False
0,0,0,150,0.0,0.0,8,Mixed,False
1,0,30,120,0.0,20.0,8,Mixed,True
0,0,0,150,0.0,0.0,9,HD,True
1,0,30,120,0.0,20.0,9,HD,False
0,0,0,150,0.0,0.0,9,MD,True
1,0,30,120,0.0,20.0,9,MD,False
0,0,0,150,0.0,0.0,9,LD,False
1,0,30,120,0.0,20.0,9,LD,True
0,0,0,150,0.0,0.0,9,Mixed,True
1,0,30,120,0.0,20.0,9,Mixed,False
0,0,0,150,0.0,0.0,10,HD,True
1,0,30,120,0.0,20.0,10,HD,False
0,0,0,150,0.0,0.0,10,MD,True
1,0,30,120,0.0,20.0,10,MD,False
0,0,0,150,0.0,0.0,10,LD,False
1,0,30,120,0.0,20.0,10,LD,True
0,0,0,150,0.0,0.0,10,Mixed,True
1,0,30,120,0.0,20.0,10,Mixed,False
